Program	xPONENT		Intelliflex																																																													
"15(1,B3)"	2-SERPR7130	1652.64258	2533.45117	295.46777	4777.60547	2042.48145	736.74512	511.65039	957.05566	582.05859	3175.86523	167.29688	198.08398	654.06738	1183.19629	1558.19727	1416.58789	687.86133	372.7207	1331.82324	747.38477	960.93457	137.75195	7354.70898	234.3125	337.14551	594.05078	6840.21094	483.3584	3907.46777	167.88184	875.86328	1020.10059	817.11035	579.84082	1554.13281	354.39551	849.66699	733.05469	733.23633	3654.76562	1044.03613	586.13281	792.63281	531.52539	678.02344	953.74023	478.34668	747.20996	647.96484	1013.78223	561.68848	366.31836	613.42969	672.53027	112.63281	547.01074	150.75293	209.5332	667.26172	249.20117	595.64844	367.63086	4543
"16(1,B4)"	2-SERPR7138	4422.6875	4623.18164	363.62109	3117.42578	1414.27539	1102.6875	1203.99902	545.60938	3729.61328	2699.25293	270.79688	399.37891	8860.08691	1505.40918	1938.71875	2380.60938	1414.10254	890.36914	652.14453	1195.40039	2913.93164	590.12891	12294.10645	488.41309	796.7373	906.67676	4610.83887	971.78711	4451.77148	157.35352	2457.58008	2247.92188	8097.26855	1644.625	2201.20117	762.25684	2714.34766	1609.62305	2037.2041	7731.98242	3001.47266	1781.90527	1922.44043	1391.38086	1881.24219	2261.30273	1157.01562	2056.83789	1391.6709	2140.27246	1428.75684	840.43945	1309.45605	1585.47656	197.78809	1491.71777	188.54395	371.14062	1510.54004	757.8623	1432.5	379.33203	3770
"17(1,B5)"	2-SERPR7146	1638.93652	4878.04785	203.22266	5069.3291	3086.60547	2443.24609	3116.16211	653.04102	1847.23438	5410.13184	185.80371	212.76074	9680.76172	817.74512	622.95117	4002.4668	460.59375	876.90723	2154.83008	1870.84766	468.76855	254.04883	8395.47852	216.09082	658.2832	1360.2832	2228.08691	333.67383	9360.72852	1969.67383	685.96582	1024.73047	2369.19531	572.16504	769.7168	541.36523	433.26172	372.0625	1323.35156	7088.34766	573.47656	373.09473	486.7334	743.7207	537.44531	554.41797	287.87695	377.20996	307.07031	969.71484	536.8457	558.25	559.86523	632.49316	95.72461	373.6123	140.28516	245.21484	551.40527	129.51172	651.19238	365.02734	3592
"18(1,B6)"	2-SERPR7154	3736.98828	4087.63672	303.51367	4391.21484	5688.4668	3001.62402	1132.8125	1096.1875	370.69824	3836.5625	188.72656	576.64453	413.97559	680.5	217.01953	1329.18359	574.77734	1047.81543	2331.83105	1896.52344	688.18359	484.12305	10774.29883	260.39258	923.36035	1724.55664	5013.28906	315.34668	7828.68359	1539.33789	2520.80469	3483.04785	7607.01367	386.78906	1570.15039	854.87402	528.35156	1824.16797	771.97266	6507.27734	693.05469	443.99121	563.15918	767.87695	466.05078	722.85059	303.77148	485.34375	397.44141	1788.33105	662.54102	598.58984	649.70117	873.87891	127.21289	684.57812	282.16211	367.66602	816.70117	160.54004	719.62695	575.06543	3910
"19(1,B7)"	2-SERPR7162	1199.8125	2168.87402	227.61426	8633.75781	2653.85156	259.44141	723.61621	438.39453	4128.83398	3571.90625	215.22656	74.66211	12269.96094	1801.16016	347.97266	3736.83594	288.67969	353.81543	714.83789	1181.83789	327.66406	114.70898	5992.11328	433.40039	363.84766	875.86328	1777.21777	199.47656	4323.94043	76.23438	1941.24609	2125.37012	1990.69141	218.57812	1252.54297	383.18066	245.26367	235.94141	583.04688	9957.34766	270.61035	195.99316	289.36133	243.08984	284.22266	386.05664	215.39941	271.39648	213.91992	3149.11328	569.00293	416.70508	473.47168	555.88477	89.66211	563.69922	162.7959	195.16309	570.21582	136.72461	562.41699	478.40332	4130
"20(1,B8)"	2-SERPR7170	2722.55859	3947.21094	280.70898	8978.57617	3161.27344	1695.20801	4040.4209	1142.65625	1122.27148	4097.22852	348.29297	327.38867	2122.93359	1781.87891	2287.91602	2624.4375	1333.53418	507.65234	1304.1748	1786.57422	449.88086	373.125	11933.2793	605.27734	816.58496	814.61035	5547.36719	993.02539	5730.20898	451.75977	4225.625	5483.25293	8332.25586	3281.76562	1375.93555	833.20508	1189.38086	3329.99219	1724.96484	5542.50781	1443.10547	1041.37891	1971.95117	883.18359	1538.88086	1584.45117	1012.375	1121.81348	1165.9873	3119.97656	3217.52832	3390.7168	3126.63086	2924.33008	222.39062	1603.05273	531.62891	721.07422	2918.54004	1189.11914	4035.67969	993.71094	3777
"21(1,B9)"	2-SERPR7178	2568.09766	5487.83008	1042.07422	12038.61328	4917.32812	272.42871	1958.74609	419.43555	443.55078	4213.39453	204.89258	244.48633	10502.88281	864.82715	531.61426	1725.34766	614.0166	889.99805	651.875	1921.45508	421.70605	133.26465	9959.51367	991.42383	915.05664	908.1582	673.11621	424.34961	14865.79395	180.83105	2532.8125	2783.00879	3570.86133	420.14453	1731.2998	2339.94238	453.57324	1251.28223	810.22266	7863.47852	465.80273	435.89062	981.10059	396.67969	497.4375	699.42285	387.00781	414.43457	316.22656	1717.08398	6480.15234	2558.94141	6626.14355	8083.27637	562.89941	6007.93555	607.09473	1106.46191	7472.98926	223.79688	6316.14648	551.87012	3780
"22(1,B10)"	2-SERPR7186	2745.9082	3551.92383	178.89746	2162.36621	1276.07031	1488.45605	2520.77441	835.33887	212.85547	1605.64844	210.59668	131.2373	168.09766	1481.12012	286.37109	420.74609	313.20703	535.84082	121.38672	1161.26562	122.58203	129.45312	12472.33398	189.21875	674.13086	1565.00977	783.78223	398.93555	1910.84961	243.78711	330.67285	471.44043	8144.93066	131.45605	1002.7832	164.71875	115.9873	2398.54297	152.36328	7168.20312	133.62402	127.12012	146.08398	232.50195	214.31836	553.57227	172.89648	166.55273	174.1875	1292.53809	325.65234	245.81152	372.0791	406.88184	107.83008	343.62207	120.27344	152.03516	561.73828	127.56836	317.11914	297.18652	3487
"23(1,B11)"	2-SERPR7194	1121.14355	4300.20312	78.18262	1614.28809	450.36133	271.68164	441.22852	186.02148	3362.04688	905.625	74.15625	86.32227	1933.07715	74.44434	3546.14453	2717.41797	322.88184	411.32422	1017.64844	796.1377	660.61035	81.70703	6227.9209	124.30566	171.44238	757.68164	1849.42969	349.66797	1078.32812	59.10449	702.35547	929.64746	4598.46387	324.62793	1036.91504	147.1875	534.75098	429.89453	461.06055	3991.0918	627.98047	305.02148	627.62012	242.81836	754.80566	458.8457	206.38965	392.99512	317.48633	416.97559	132.18555	120.86621	209.63672	204.02148	60.33887	147.54004	115.6875	142.9209	199.33789	73.85156	151.76758	67.38867	3196
"24(1,B12)"	2-SERPR7202	1873.83594	1589.67773	223.09082	2409.03125	1212.48047	402.19727	1307.06445	414.33984	185.70703	2165.53906	171.1875	166.45801	4541.85352	1427.09668	610.36914	528.87305	165.77441	151.57617	3372.23633	729.85352	123.92383	233.70898	7313.81055	161.47949	361.62598	986.17578	2636.72852	198.21289	6965.43164	85.12305	106.17676	137.13867	136.35254	92.66211	932.64453	193.80078	104.89063	193.3125	620.01758	2473.05762	125.04688	88.52148	143.05566	104.14453	172.66406	159.58594	95.40039	123.00781	106.07031	749.29492	384.63672	209.89844	399.68457	497.63867	64.65234	376.00977	104.86328	246.88281	407.95117	62.65527	357.50586	232.40039	3999
