Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,05/11/2022,4:45 PM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX16145704,,,,,,,,,,,,,,,
Batch,IgG_CovidOiseS4_30plex_plate5_20220511,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,mph,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Covid_30plex_new,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,65 uL,,,,,,,,,,,,,,,
BatchStartTime,5/12/2022 6:17:40 PM,,,,,,,,,,,,,,,
BatchStopTime,5/12/2022 7:19:45 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
"46(1,D10)",Unknown76,26582,807,2313,470,1214,,,,,,,,,,
"47(1,D11)",Unknown84,787,947.5,2291,1078.5,1254,,,,,,,,,,
"48(1,D12)",Unknown92,16940,254,892.5,379,1247,,,,,,,,,,
"49(1,E1)",Unknown5,22644,583.5,2323,415,1184.5,,,,,,,,,,
"50(1,E2)",Unknown13,24208.5,919,2887,1012.5,980,,,,,,,,,,
"51(1,E3)",Unknown21,19238,605,1012,446.5,1505,,,,,,,,,,
"52(1,E4)",Unknown29,29062,1317,2943,595,2805.5,,,,,,,,,,
"53(1,E5)",Unknown37,12481,990,761.5,2534.5,3503,,,,,,,,,,
"54(1,E6)",Unknown45,20077,781,5448,2470,1449,,,,,,,,,,
"55(1,E7)",Unknown53,9297,1481,2463.5,904.5,1096,,,,,,,,,,
"56(1,E8)",Unknown61,20322.5,380.5,1983,387,923,,,,,,,,,,
"57(1,E9)",Unknown69,23624,715,2607,434,461,,,,,,,,,,
"58(1,E10)",Unknown77,22835,473,1430,1118,2374,,,,,,,,,,
"59(1,E11)",Unknown85,12946,1259,7621,935,2049,,,,,,,,,,
"60(1,E12)",Unknown93,20487,486,2953,533.5,1624,,,,,,,,,,
"61(1,F1)",Unknown6,24678.5,377,3545,928.5,956,,,,,,,,,,
"62(1,F2)",Unknown14,25417,1270.5,3698,1209,3122.5,,,,,,,,,,
"63(1,F3)",Unknown22,27183.5,764,3466,3696,3114,,,,,,,,,,
